Library,BCL,RNA Index,Village / Cohort,Region,fastqs,cr,cb,ds,vireo,Distinct BCLS,
pXDPsHSrDLFCid240830rxn4,22CTCMLT4,SI-TT-H6,1,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,22CTCMLT4,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrDLFCid240830rxn4
pXDPsHSrDLFCid240830rnx3,22CTCMLT4,SI-TT-G6,1,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,A22KHKGLT3,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrDLFCid240830rnx3
pXDPsHSrDLFCid240830rnx2,22CTCMLT4,SI-TT-F6,1,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,250117_SL-EXL_0041_A22LHCHLT4,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrDLFCid240830rnx2
pXDPsHSrDLFCid240830rxn1,22CTCMLT4,SI-TT-E6,1,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,250219_SL-EXL_0076_B22LHTCLT4,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrDLFCid240830rxn1
pXDPsHSrSNid240830rxn4,22CTCMLT4,SI-TT-D6,1,SN,TRUE,TRUE,TRUE,TRUE,FALSE,250328_SL-EXE_0516_A22N2VFLT4,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrSNid240830rxn4
pXDPsHSrSNid240830rxn3,22CTCMLT4,SI-TT-C6,1,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrSNid240830rxn3
pXDPsHSrSNid240830rxn2,22CTCMLT4,SI-TT-B6,1,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrSNid240830rxn2
pXDPsHSrSNid240830rxn1,22CTCMLT4,SI-TT-A6,1,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/22CTCMLT4/pXDPsHSrSNid240830rxn1
pXDPsHSrPuiv1d240321rxn4,A22KHKGLT3,SI-TT-C9,1,Pu,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrPuiv1d240321rxn4
pXDPsHSrPuiv1d240321rxn3,A22KHKGLT3,SI-TT-D9,1,Pu,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrPuiv1d240321rxn3
pXDPsHSrPuiv1d240321rxn2,A22KHKGLT3,SI-TT-E9,1,Pu,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrPuiv1d240321rxn2
pXDPsHSrPuiv1d240321rxn1,A22KHKGLT3,SI-TT-F9,1,Pu,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrPuiv1d240321rxn1
pXDPsHSrCaiv1d240321rxn4,A22KHKGLT3,SI-TT-G9,1,Ca,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrCaiv1d240321rxn4
pXDPsHSrCaiv1d240321rxn3,A22KHKGLT3,SI-TT-H9,1,Ca,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrCaiv1d240321rxn3
pXDPsHSrCaiv1d240321rxn2,A22KHKGLT3,SI-TT-A10,1,Ca,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrCaiv1d240321rxn2
pXDPsHSrCaiv1d240321rxn1,A22KHKGLT3,SI-TT-B10,1,Ca,FALSE,FALSE,FALSE,FALSE,FALSE,,gs://macosko_data/libraries/A22KHKGLT3/pXDPsHSrCaiv1d240321rxn1
241218_v2_10X-GEMX-5P_Ca_rxn1,250117_SL-EXL_0041_A22LHCHLT4,SI-TT-F4,2,Ca,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250117_SL-EXL_0041_A22LHCHLT4/241218_v2_10X-GEMX-5P_Ca_rxn1
241218_v2_10X-GEMX-5P_Ca_rxn2,250117_SL-EXL_0041_A22LHCHLT4,SI-TT-F5,2,Ca,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250117_SL-EXL_0041_A22LHCHLT4/241218_v2_10X-GEMX-5P_Ca_rxn2
241218_v2_10X-GEMX-5P_Pu_rxn1,250117_SL-EXL_0041_A22LHCHLT4,SI-TT-F6,2,Pu,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250117_SL-EXL_0041_A22LHCHLT4/241218_v2_10X-GEMX-5P_Pu_rxn1
241218_v2_10X-GEMX-5P_Pu_rxn2,250117_SL-EXL_0041_A22LHCHLT4,SI-TT-F7,2,Pu,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250117_SL-EXL_0041_A22LHCHLT4/241218_v2_10X-GEMX-5P_Pu_rxn2
SI-TT-F8,250219_SL-EXL_0076_B22LHTCLT4,SI-TT-F8,2,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250219_SL-EXL_0076_B22LHTCLT4/SI-TT-F8
SI-TT-F9,250219_SL-EXL_0076_B22LHTCLT4,SI-TT-F9,2,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250219_SL-EXL_0076_B22LHTCLT4/SI-TT-F9
SI-TT-F10,250219_SL-EXL_0076_B22LHTCLT4,SI-TT-F10,2,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250219_SL-EXL_0076_B22LHTCLT4/SI-TT-F10
SI-TT-F11,250219_SL-EXL_0076_B22LHTCLT4,SI-TT-F11,2,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250219_SL-EXL_0076_B22LHTCLT4/SI-TT-F11
SI-TT-H9,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-H9,3,Ca,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-H9
SI-TT-H10,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-H10,3,Ca,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-H10
SI-TT-H11,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-H11,3,Pu,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-H11
SI-TT-H12,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-H12,3,Pu,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-H12
SI-TT-G3,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-G3,3,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-G3
SI-TT-G4,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-G4,3,SN,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-G4
SI-TT-G5,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-G5,3,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-G5
SI-TT-G6,250328_SL-EXE_0516_A22N2VFLT4,SI-TT-G6,3,DFC,TRUE,TRUE,TRUE,TRUE,FALSE,,gs://macosko_data/libraries/250328_SL-EXE_0516_A22N2VFLT4/SI-TT-G6
