"gene","mean_spearman","combined_p"
"A1BG",-0.00236033730189657,5.34905730709134e-07
"A1BG-AS1",-0.00788125344437162,3.19802341275377e-08
"A1CF",0.00739820372693167,0.0296969067812696
"A2M",-0.00214357715482131,8.04911692853238e-15
"A2M-AS1",-0.000388790432017869,0.00744391330823807
"A2ML1",-0.000625817291428102,0.000957409736858372
"A2ML1-AS1",-0.00110646694872164,0.00294146355575625
"A2ML1-AS2",-0.00276439886665758,0.540482286968156
"A3GALT2",-0.016092947253965,1.99488225510747e-06
"A4GALT",-0.00595277135985193,0.0200016371724277
"A4GNT",-0.00773220339319417,0.302459050124269
"AAAS",-0.0295038648200238,4.05231403988182e-15
"AACS",0.0142221989364472,4.05231403988182e-15
"AADAC",0.00460005984432595,0.0706026645737308
"AADACL2",0.00352646105895746,0.170557326740385
"AADACL2-AS1",0.00832320147534674,0.00294542756711735
"AADACL3",0.000597992829277769,0.872572324373106
"AADACL4",-0.00567536984433892,0.614509742710699
"AADAT",0.0367854903068345,4.05231403988182e-15
"AAGAB",-0.0123339167155216,8.04911692853238e-15
"AAK1",-0.0324801685002352,4.05231403988182e-15
"AAMDC",-0.0722028044429857,1.99840144432528e-15
"AAMP",0.0506672835699352,2.4980018054066e-15
"AANAT",-0.0046841309111628,0.0352285354358334
"AAR2",-0.0181856071693172,5.01654273676877e-13
"AARD",-0.0278006915476494,8.04911692853238e-15
"AARS",-0.00856211594497088,1.95758200760565e-08
"AARS2",-0.0246059351840321,3.45364126186354e-09
"AARSD1",-0.00450926233878333,6.45597013126942e-07
"AASDH",0.0281605213259226,1.77480252716578e-12
"AASDHPPT",-0.0101977324164874,4.05231403988182e-15
"AASS",-0.081789836434135,1.99840144432528e-15
"AATBC",-0.045698854520291,8.04911692853238e-15
"AATF",-0.0384035306635175,8.04911692853238e-15
"AATK",-0.0406545475264288,4.05231403988182e-15
"ABALON",0.00444145648646804,0.0248154439012248
"ABAT",0.00731665433926983,2.66453525910038e-15
"ABCA1",0.00102658575466566,1.51724205421644e-08
"ABCA10",-0.0162044084040186,6.79017952975869e-12
"ABCA12",0.000337179420737456,0.606338617563698
"ABCA13",0.0757038080147221,1.60982338570648e-15
"ABCA2",-0.0116558865355717,8.04911692853238e-15
"ABCA3",0.0326743802515931,8.04911692853238e-15
"ABCA4",0.00319227485451606,0.00330939981235484
"ABCA5",0.0770657361620175,1.60982338570648e-15
"ABCA6",-0.0202317956506035,2.32525110277493e-12
"ABCA7",-0.0389359210303339,3.83026943495679e-15
"ABCA8",-0.0134046628368955,0.000196284588662388
"ABCA9",-0.0206406657645185,4.71978012228647e-12
"ABCA9-AS1",-0.00347168242219533,0.00471284244031905
"ABCB1",-0.0534202627137442,2.66453525910038e-15
"ABCB10",-0.0398926162666688,4.05231403988182e-15
"ABCB11",0.00126952337280253,0.000142301830434455
"ABCB4",0.00286654078444067,0.0185652225215011
"ABCB5",-0.00574719232371812,0.385449787820392
"ABCB6",0.0276750328562789,4.00517952137136e-11
"ABCB7",-0.00359757606090882,1.73452056977941e-05
"ABCB8",0.045680591191287,7.27196081129478e-15
"ABCB9",-0.128768346874837,9.99200722162641e-16
"ABCC1",-0.0345365877704788,8.04911692853238e-15
"ABCC10",0.0107632993165574,0.000187630925878424
"ABCC11",-0.00810918278674595,0.000464435345827241
"ABCC12",-0.00712883768533032,4.05231403988182e-15
"ABCC2",0.00885938411007889,0.0329557899972414
"ABCC3",-0.0124281001715259,8.04911692853238e-15
"ABCC4",0.0717051106243946,1.99840144432528e-15
"ABCC5",-0.0555174610244659,1.99840144432528e-15
"ABCC5-AS1",-0.00495432913833308,0.876095019300879
"ABCC6",-0.00598151551828496,0.329330308422506
"ABCC8",-0.0348989162108585,7.99360577730113e-15
"ABCC9",0.0211406553827232,4.05231403988182e-15
"ABCD1",-0.0719254571226622,2.60902410786912e-15
"ABCD2",-0.121525039985306,9.99200722162641e-16
"ABCD3",0.0248566409870478,2.05227501659522e-11
"ABCD4",0.0683429586114677,1.99840144432528e-15
"ABCE1",0.0258049569794693,3.2131519667189e-12
"ABCF1",-0.0513578542648132,4.05231403988182e-15
"ABCF2",0.00752083320677137,1.65423230669148e-14
"ABCF3",0.0188663830688337,7.32747196252603e-15
"ABCG1",0.05858272968588,1.60982338570648e-15
"ABCG2",-0.00640797645473063,1.13064144157682e-05
"ABCG4",0.00288182216894353,2.22961654694487e-09
"ABCG5",0.0181557939052555,8.60422844084496e-15
"ABCG8",0.0427364998883177,8.04911692853238e-15
"ABHD1",0.0116073946773158,0.0218686958586803
"ABHD10",0.0154673033818171,8.04911692853238e-15
"ABHD11",-0.0147902503616356,0.000600958687283881
"ABHD12",0.000535505991010817,0.0224212177714144
"ABHD12B",-0.213088711288306,1.11022302462516e-15
"ABHD13",0.0422125875815563,2.66453525910038e-15
"ABHD14A",0.018386505872064,8.04911692853238e-15
"ABHD14B",0.000180974431899954,2.20927252159164e-07
"ABHD15",-0.0100829558979318,0.0209108409061558
"ABHD15-AS1",0.0396098608393038,3.94129173741931e-15
"ABHD16A",-0.0307148444672556,8.04911692853238e-15
"ABHD16B",0.00184880059079211,0.17401011989401
"ABHD17A",-0.0189729978004315,3.52828797134941e-05
"ABHD17B",-0.0410465723801487,5.27355936696949e-15
"ABHD17C",0.00193000442626583,0.000970770754905981
"ABHD18",-0.018876020228313,4.05231403988182e-15
"ABHD2",-0.0952366039766064,1.33226762955019e-15
"ABHD3",-0.0656681186458752,2.66453525910038e-15
"ABHD4",0.0357870619608707,8.04911692853238e-15
"ABHD5",-0.0275544413941135,1.0930700788947e-12
"ABHD6",-0.0861341835849691,1.60982338570648e-15
"ABHD8",-0.0331187493936407,8.14150098504829e-07
"ABI1",0.01978035473852,8.04911692853238e-15
"ABI2",-0.00356709034781287,8.04911692853238e-15
"ABI3",-0.000642295901233661,0.162725363051848
