,gene,mean_spearman,combined_p
31237,TESPA1,-0.470454969191366,9.992007221626409e-16
33964,ZNF385B,-0.447351786383907,9.992007221626409e-16
9413,AL138701.2,-0.438598488351579,9.992007221626409e-16
9554,AL139379.1,-0.425625743877839,9.992007221626409e-16
26830,PLEKHA7,-0.415725381473784,9.992007221626409e-16
16970,EPB41,-0.39002706040196,9.992007221626409e-16
26345,PDE10A,-0.387596027751116,9.992007221626409e-16
20852,LARGE1,-0.364065160312126,9.992007221626409e-16
18439,GLI3,-0.350629176370537,9.992007221626409e-16
23830,MERTK,-0.350579712838006,9.992007221626409e-16
30460,SRGAP1,-0.348965284546536,9.992007221626409e-16
26788,PLCB1,-0.347911540387141,9.992007221626409e-16
25609,OPCML,-0.34295512721929,9.992007221626409e-16
33040,VLDLR-AS1,-0.337857961143441,9.992007221626409e-16
20367,KCNT1,-0.335152974703057,9.992007221626409e-16
24095,MME,-0.329791801668888,9.992007221626409e-16
12483,ARHGAP10,-0.329330277644932,9.992007221626409e-16
16849,ELL2,-0.328516655260506,9.992007221626409e-16
28923,SCARB1,-0.32767085877617,9.992007221626409e-16
28794,RYR3,-0.326803052256348,9.992007221626409e-16
32485,TTLL11,-0.325418538058332,9.992007221626409e-16
29567,SLC24A2,-0.323656567414217,9.992007221626409e-16
32323,TRPC6,-0.32241341715,9.992007221626409e-16
9672,AL158077.2,-0.320590019197473,9.992007221626409e-16
15251,COL25A1,-0.312676012088231,9.992007221626409e-16
16955,ENTPD3,-0.311373045580844,9.992007221626409e-16
18751,GPRIN3,-0.307216736013374,9.992007221626409e-16
30387,SPOCK1,-0.306652517747288,9.992007221626409e-16
16726,EFR3B,-0.306204631040771,9.992007221626409e-16
26317,PCSK6,-0.306200826651547,9.992007221626409e-16
45768,ENSG00000287923,-0.305655861738395,9.992007221626409e-16
28498,ROBO1,0.308884153492925,9.992007221626409e-16
18186,GALNTL6,0.312589479275601,9.992007221626409e-16
18791,GRIA4,0.317240029304359,9.992007221626409e-16
13895,CADM1,0.330091794174326,9.992007221626409e-16
19063,HCN1,0.337686568502138,9.992007221626409e-16
18289,GDA,0.375323225692596,9.992007221626409e-16
27342,PRKG1,0.379186902268192,9.992007221626409e-16
12520,ARHGAP6,0.393592098530599,9.992007221626409e-16
