Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
ABAT,2.01e-13,-0.001111199,0.846,0.151,0.07023969,99.9,C-,N,Y,N,0.0186,0.912
AC008591.1,8.58e-12,-0.001578609,0.789,0.024,-0.1681228,98.08,C-,N,Y,N,1.2e-08,0.478
AC069437.1,4.68e-12,-0.001738447,0.77,0.00578,-0.221585,95.94,C-,N,Y,N,3.04e-08,0.398
AC079385.1,2.18e-16,-0.002295489,0.709,0.00398,-0.2602464,97.2,C-,N,Y,N,2.3e-06,0.738
AC090124.1,1.17e-29,-0.005722804,0.424,0.0911,-0.25841,71.56,C-,N,N,N,1.01e-09,0.561
AC090124.2,5.87e-25,-0.009170646,0.253,0.00211,-0.7043964,44.48,C-,N,N,N,0.00225,0.792
AC092422.1,1.05e-14,-0.001286227,0.825,7.64e-21,-0.5107032,99.8,C-,N,Y,N,0.718,0.997
AC092546.1,1.08e-11,-0.003233759,0.616,0.0738,-0.264362,65.27,C-,N,N,N,0.213,1.132
AC093523.1,7.64e-14,-0.002003179,0.74,0.00101,-0.2845252,94.35,C-,N,Y,N,0.0499,1.166
AC109466.1,8.38e-13,-0.001154098,0.841,1.1e-10,-0.3401,99.71,C-,N,Y,N,0.521,0.963
AC127164.1,2.09e-27,-0.004054482,0.544,1.1e-05,-0.485317,78.11,C-,N,N,N,1.07e-05,0.659
ACTN1,9.07e-11,-0.0007369255,0.895,0.000348,-0.1351296,100.0,C-,N,Y,N,0.0587,1.058
ADAM12,1.01e-14,-0.001821343,0.761,4.86e-09,-0.4451551,95.92,C-,N,Y,N,0.000768,0.785
ADAMTS19,4.11e-22,-0.001229068,0.832,1.7e-13,-0.3039351,99.94,C-,N,Y,N,0.000536,0.852
ADAMTS3,3.09e-24,-0.001635742,0.782,3.55e-09,-0.3063571,99.82,C-,N,Y,N,0.00109,0.873
ADAMTSL1,5.78e-13,-0.003508983,0.591,0.245,-0.1817815,71.23,C-,N,N,N,0.00112,1.568
ADCY5,4.44e-103,-0.002545408,0.683,7.33e-14,-0.2831205,100.0,C-,N,Y,N,1.18e-05,0.85
AKAP5,1.13e-20,-0.002265939,0.712,0.00831,-0.1977227,93.59,C-,N,Y,N,0.221,0.951
AL020994.3,8.89e-19,-0.001644713,0.781,6.6e-10,-0.3687115,98.53,C-,N,Y,N,7.24e-06,0.753
AL049830.3,2.26e-15,-0.002423731,0.695,0.00573,-0.2599624,87.84,C-,N,N,N,4.25e-06,0.491
AL355472.3,1.21e-62,-0.002432253,0.694,2.12e-20,-0.4272378,99.86,C-,N,Y,N,0.498,1.083
AL355472.4,3.82e-11,-0.002083327,0.732,0.0486,-0.1871014,79.8,C-,N,N,N,0.115,0.892
ANKRD18A,9.88e-11,-0.00102323,0.858,0.0512,-0.1016709,99.53,C-,N,Y,N,0.0889,1.123
ANKS1B,1.57e-63,-0.001439191,0.806,1.9e-29,-0.3150444,100.0,C-,N,Y,N,1.22e-05,0.859
ANO3,6.9e-54,-0.002033556,0.737,4.68e-28,-0.4653253,100.0,C-,N,Y,N,1.43e-05,0.791
AP1G2,4.53e-19,-0.001988781,0.742,0.847,0.0131821,94.18,C-,N,Y,N,0.184,1.094
AQP4-AS1,6.99e-18,-0.001969624,0.744,6.68e-07,-0.3681436,98.9,C-,N,Y,N,0.00953,0.872
ARAP2,7.87e-18,-0.0009592873,0.866,9.3e-20,-0.330447,100.0,C-,N,Y,N,0.438,0.97
ARMC9,3.94e-22,-0.00149446,0.799,9.28e-05,-0.1962278,99.96,C-,N,Y,N,0.237,1.057
ARNT2,2.28e-17,-0.0008942952,0.874,2.16e-16,-0.2850401,100.0,C-,N,Y,N,0.0197,1.073
ARPP19,3.3e-72,-0.00353337,0.589,0.512,0.03851072,99.51,C-,N,Y,N,2.94e-05,0.709
ARPP21,2.58e-57,-0.001476836,0.801,1.08e-18,-0.2639941,100.0,C-,N,Y,N,0.0516,0.924
ATP2B1,8.06e-95,-0.002055089,0.735,1.12e-23,-0.3209128,100.0,C-,N,Y,N,0.00236,0.869
ATP2B2,1.7e-32,-0.001463451,0.803,0.000281,-0.1450361,100.0,C-,N,Y,N,8.17e-05,0.852
B3GLCT,3.94e-33,-0.001809647,0.762,0.00194,-0.1510413,99.9,C-,N,Y,N,0.0228,0.916
BBS2,3.43e-12,-0.001096159,0.848,0.493,-0.03450995,99.63,C-,N,Y,N,1.27e-06,0.852
BCL11B,1.59e-16,-0.001131615,0.844,0.00968,-0.1157603,99.98,C-,N,Y,N,0.0157,0.93
C6orf141,7.7e-18,-0.002310189,0.707,0.00513,-0.2344393,87.84,C-,N,N,N,0.000307,0.788
CA12,3.29e-52,-0.002920276,0.645,4.38e-08,-0.3310731,99.71,C-,N,Y,N,0.0524,0.929
CACNA1E,3.19e-47,-0.00127597,0.826,1.79e-17,-0.2462552,100.0,C-,N,Y,N,0.00297,0.926
CACNA2D3,9.2e-36,-0.0007843977,0.889,1.25e-28,-0.2296289,100.0,C-,N,Y,N,0.000192,0.921
CACNB2,1.04e-16,-0.0007144803,0.898,1.74e-20,-0.2621599,100.0,C-,N,Y,N,0.616,1.014
CAMK2B,5.02e-19,-0.000945012,0.868,0.000364,-0.1229729,100.0,C-,N,Y,N,0.186,0.953
CAMK4,2.03e-22,-0.0009243271,0.871,2.03e-16,-0.2554451,100.0,C-,N,Y,N,3.13e-05,1.159
CAMKK2,4.16e-15,-0.001457501,0.804,0.00213,-0.1820696,97.78,C-,N,Y,N,2.83e-06,0.785
CARHSP1,1.49e-12,-0.002205247,0.718,0.0132,0.2375536,80.51,C-,N,N,N,0.535,0.954
CATSPERG,4.9e-11,-0.00297493,0.64,0.669,0.05924078,57.72,C-,N,N,N,1.1e-06,0.762
CCDC88C,1.3e-88,-0.002478846,0.689,5.07e-18,-0.3434698,99.98,C-,N,Y,N,0.0467,0.916
CDC40,1.86e-14,-0.001129612,0.844,0.218,-0.05894679,99.84,C-,N,Y,N,0.000694,0.911
CDH11,1.45e-22,-0.001621627,0.784,2.75e-07,-0.2779342,99.96,C-,N,Y,N,2.52e-05,0.827
CDKL5,2.65e-12,-0.00114792,0.842,3.62e-05,-0.2210187,99.9,C-,N,Y,N,0.0245,0.93
CELF2,1.45e-55,-0.001090248,0.849,3.14e-29,-0.2552433,100.0,C-,N,Y,N,0.0388,1.041
