Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
AAK1,1.31e-13,0.0007164014,1.113,0.000421,0.1158024,100.0,C+,Y,N,N,2.6e-05,1.116
AC004158.1,3.74e-23,0.002635269,1.485,5.5e-13,0.651451,83.96,C+,N,N,N,0.191,1.07
AC005154.1,2.66e-20,0.001395164,1.233,0.0415,0.1070433,98.18,C+,Y,N,N,0.0264,0.94
AC005562.1,3.13e-12,0.001376874,1.229,0.696,0.02701825,92.41,C+,Y,N,N,0.155,0.97
AC010615.4,2.86e-13,0.001315201,1.218,0.000125,0.2351401,97.8,C+,Y,N,N,1.03e-07,1.419
AC024901.1,4.33e-11,0.00296853,1.561,0.00273,0.4484777,63.64,C+,N,N,N,3.13e-05,1.585
AC026790.1,3.8e-15,0.002517529,1.459,1.36e-05,0.4816357,71.45,C+,N,N,N,6.92e-07,1.578
AC034226.1,1.79e-19,0.006773916,2.762,8.72e-07,1.275166,17.59,C+,N,N,N,0.000401,2.104
AC093890.1,6.28e-14,0.003187149,1.613,0.942,-0.01084099,54.66,C+,N,N,N,0.02,1.345
AC097515.1,6.29e-13,0.00248264,1.451,0.0397,0.2416301,72.35,C+,N,N,N,0.82,1.03
AC104090.1,1.11e-18,0.003424781,1.671,0.128,0.2043871,59.54,C+,N,N,N,0.0929,1.19
ACVR2A,1.43e-12,0.001764564,1.303,0.438,-0.06647664,87.64,C+,N,N,N,0.000116,1.201
ADAM22,2.62e-11,0.000757641,1.12,0.739,0.01280278,99.96,C+,Y,N,N,0.000158,1.1
ADD3,1.26e-13,0.001323677,1.22,7.02e-05,0.238864,98.39,C+,Y,N,N,6.69e-09,1.371
ADGRL2,2e-15,0.001274135,1.211,0.611,0.02714501,99.86,C+,Y,N,N,0.000458,1.158
AEBP2,1.31e-39,0.001953975,1.341,3.41e-05,0.2061064,99.98,C+,Y,N,N,8.25e-06,1.225
AFDN,4.06e-17,0.001543999,1.261,0.617,0.03158734,96.25,C+,Y,N,N,0.00055,1.144
AGTPBP1,2.86e-16,0.001237378,1.204,0.00615,0.141426,99.45,C+,Y,N,N,1.52e-05,1.147
AKAP13,1.15e-12,0.001160625,1.19,0.000444,0.195733,98.29,C+,Y,N,N,0.000315,1.131
AKAP6,6.41e-14,0.0006001817,1.094,0.54,-0.01643141,100.0,C+,Y,N,N,0.507,0.983
AKT3,3.03e-17,0.0009318141,1.15,0.0022,0.113093,100.0,C+,Y,N,N,0.129,0.96
AL359710.1,2.97e-16,0.00262921,1.483,0.000202,0.4005486,82.45,C+,N,N,N,0.00304,1.187
AL589740.1,2.79e-49,0.002138725,1.378,3.84e-06,0.2221875,99.71,C+,Y,N,N,0.803,1.016
ANK2,1.83e-28,0.0007891385,1.126,0.0806,0.04162889,100.0,C+,Y,N,N,0.000298,1.109
ANK3,5.89e-19,0.0005570427,1.087,0.609,-0.01067551,100.0,C+,Y,N,N,5.96e-10,1.195
ANKH,1.85e-11,0.001082571,1.176,0.0859,0.09340355,99.35,C+,Y,N,N,0.000106,1.176
ANKIB1,6.46e-12,0.0007578356,1.12,0.00182,0.1162418,99.98,C+,Y,N,N,0.000894,1.063
ANKRD17,3.85e-22,0.0008641265,1.138,0.988,0.0004710457,99.98,C+,Y,N,N,2.6e-05,1.119
APTX,6.62e-11,0.00136628,1.227,4.55e-05,0.2932599,90.29,C+,Y,N,N,0.891,0.983
ARFGEF1,4.35e-16,0.001002659,1.162,2.99e-09,0.2495064,99.9,C+,Y,N,N,7e-06,1.121
ARFGEF3,5.59e-13,0.0009999845,1.162,0.472,0.03369682,99.92,C+,Y,N,N,0.0459,1.072
ARHGAP26,1.49e-16,0.0008936155,1.143,0.766,0.01075807,100.0,C+,Y,N,N,0.0015,1.136
ARHGEF12,2.47e-13,0.0009354836,1.151,7.97e-06,0.1940475,99.69,C+,Y,N,N,2.12e-07,1.192
ARHGEF26-AS1,5.56e-14,0.004110637,1.853,7.48e-05,0.741303,36.54,C+,N,N,N,7.44e-07,1.568
ARID4A,7.27e-11,0.0009761595,1.158,0.0262,0.11445,98.78,C+,Y,N,N,0.626,1.015
ARID4B,2.46e-15,0.0008480626,1.136,1.65e-10,0.2334821,100.0,C+,Y,N,N,0.00843,1.077
ARIH1,5.93e-12,0.000809846,1.129,0.0195,0.093885,99.9,C+,Y,N,N,0.0124,1.057
ASTN1,2.05e-11,0.0007506258,1.119,0.381,0.03312489,99.94,C+,Y,N,N,0.0176,1.084
ATE1,8.87e-13,0.0009128313,1.147,0.097,0.07214143,99.88,C+,Y,N,N,0.0179,1.047
ATP1A3,2.02e-17,0.001736081,1.297,5.63e-09,0.4139517,88.61,C+,N,N,N,0.0362,1.197
ATP2A3,7.05e-18,0.007970571,3.305,3.9e-10,2.063894,6.1,C+,N,N,N,1.52e-05,1.98
ATP8A2,3.38e-24,0.0009535254,1.154,0.000102,0.122847,99.94,C+,Y,N,N,0.00529,1.095
ATP9B,1.25e-12,0.0009591545,1.155,0.125,0.07045673,99.84,C+,Y,N,N,0.0863,1.05
ATR,9.49e-15,0.001080607,1.176,0.00367,0.1381368,99.57,C+,Y,N,N,0.025,0.904
ATRX,2.08e-18,0.0009210593,1.148,2.37e-09,0.2131048,99.96,C+,Y,N,N,6.56e-06,1.121
BASP1,1.42e-15,0.001580978,1.268,3.73e-06,0.3121984,94.49,C+,Y,N,N,0.386,1.013
