Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
ABCA8,0.000193,-0.01193506,0.167,8.73e-25,7.37272,1.1,D,N,N,N,0.438,1.284
ABCC9,0.154,-0.003146234,0.624,4.55e-17,5.523023,0.59,D,N,N,N,0.0228,0.721
AC005165.1,1e-07,0.005741361,2.366,2.92e-15,2.961955,4.79,D,N,N,N,8.48e-08,3.086
AC007091.1,0.65,0.0008516227,1.136,5.23e-27,6.530972,3.16,D,N,N,N,2.47e-12,24.414
AC008060.1,0.0188,0.00378293,1.764,6.92e-20,6.244598,0.35,D,N,N,Y,6.62e-05,7.116
AC023886.1,2.27e-08,0.004968615,2.107,1.36e-28,3.368566,6.0,D,N,N,N,0.314,1.573
AC027117.2,0.312,0.001314458,1.218,1e-13,3.018119,3.2,D,N,N,N,0.817,1.154
AC069120.1,0.106,0.001763116,1.303,3.64e-11,2.437793,4.98,D,N,N,N,0.0134,1.857
AC069208.1,0.00509,-0.004943557,0.476,6.34e-27,5.03352,2.63,D,N,N,N,0.468,0.955
AC090502.1,0.0787,-0.003623943,0.581,6.98e-16,4.77123,2.1,D,N,N,N,0.263,0.945
AC090833.1,6e-05,-0.007050928,0.347,6.5e-11,2.741892,6.33,D,N,N,N,8.88e-07,0.492
AC091940.1,0.0473,-0.004242673,0.529,2.62e-11,3.905708,1.61,D,N,N,N,0.548,1.009
AC092958.1,0.0928,-0.004388034,0.518,3.47e-13,5.086917,0.88,D,N,N,N,0.77,1.985
AC093330.2,0.00156,-0.01016369,0.218,5.21e-19,6.69712,0.92,D,N,N,N,0.961,1.394
AC093503.3,0.889,-0.0001475342,0.978,5.95e-13,2.419481,5.49,D,N,N,N,0.00348,1.629
AC098829.1,1.43e-13,0.002220721,1.395,8.36e-18,0.8504634,87.1,D,N,N,N,0.661,1.056
AC104574.2,6.96e-05,-0.006519344,0.376,2.96e-13,3.131962,6.51,D,N,N,N,0.986,1.149
AC110023.1,0.177,-0.002344025,0.704,1.13e-12,3.733142,4.06,D,N,N,N,0.36,2.049
AC110285.1,0.012,-0.002331802,0.705,8.69e-25,2.655488,9.16,D,N,N,N,0.798,0.964
AC112206.2,0.000395,-0.004181644,0.534,6.17e-11,2.091085,8.94,D,N,N,N,2.37e-05,0.707
AC243773.2,0.193,-0.001104145,0.847,1.3e-17,2.25197,14.16,D,N,N,N,0.553,1.596
ACOT11,0.339,0.001258738,1.208,1.17e-12,2.883309,3.57,D,N,N,N,0.331,0.966
ACOT7,0.0897,0.0003860423,1.06,9.79e-14,0.564525,83.98,D,N,N,N,0.00565,1.16
ACSBG1,0.453,-0.001014566,0.859,7.99e-21,3.739151,3.57,D,N,N,N,0.00018,0.511
